Date,AAPL,C,GE,JNJ,JPM,MSFT,ORCL,PFE,PG,T,WFC,XOM
2015-12-01,103.497688,51.44508,30.432741,100.586967,64.138786,54.363068,35.972706,31.41391,76.883484,32.747025,53.106106,75.957321
2015-11-02,116.319366,53.771294,29.033443,99.137695,64.770164,53.255814,38.375481,31.890764,72.45887,32.042786,53.829033,79.572487
2015-10-01,116.998459,52.856712,28.044329,98.208092,62.409767,51.234901,38.247463,32.649067,73.949875,31.890518,52.530098,79.928108
2015-09-01,107.991051,49.272636,24.45636,90.742599,58.799446,43.078587,35.428146,30.322508,69.030716,30.567984,49.823059,71.823242
2015-08-03,110.399551,53.116318,23.854984,91.355011,61.818016,42.358341,36.37957,31.104465,67.812073,31.149693,51.744186,72.682991
2015-07-01,118.225639,58.06245,25.085217,96.671463,66.090309,45.155685,39.174976,34.541584,73.598213,32.594589,55.785015,75.808762
2015-06-01,122.250961,54.817795,25.536943,94.01857,64.923386,42.690014,39.381176,32.118114,74.466164,32.888527,54.213745,79.627434
2015-05-01,126.978035,53.66666,25.98867,96.603935,63.026268,45.310394,42.498447,33.286743,74.608932,31.981131,53.943832,81.54155
2015-04-01,121.470673,52.862377,25.807596,95.004333,60.611763,46.727848,42.625481,32.234554,75.674911,32.073719,52.757347,82.932449
2015-03-02,120.771843,51.077827,23.644257,96.345123,57.660706,39.061562,42.018902,33.051582,77.365417,29.802662,52.087112,80.682816
2015-02-02,124.683365,51.9701,24.768812,98.174347,58.326969,42.126156,42.671337,32.605068,80.377319,31.546093,52.460529,84.043022
2015-01-02,113.268547,46.54705,22.560097,95.237915,51.759476,38.537525,40.791927,29.42886,79.584221,30.049112,49.387024,82.359978
2014-12-01,106.713737,53.634212,23.863276,99.451057,59.183601,44.308617,43.672649,29.334688,85.397202,30.2318,52.145546,87.098831
2014-11-03,114.979759,53.495441,24.782047,102.950912,56.894939,45.605919,41.186504,29.334688,84.778458,31.842844,51.822132,85.299393
2014-10-01,103.961998,53.059311,24.145891,101.840652,57.197571,44.504864,37.923435,27.96244,81.815941,31.356831,50.168148,90.45916
2014-09-02,96.983063,51.354591,23.968142,100.716225,56.589333,43.945591,37.06094,27.607656,77.909012,31.303885,49.015289,87.971092
2014-08-01,98.667633,51.186123,24.101387,98.013832,55.847206,43.064022,40.207443,27.439602,77.322884,31.055157,48.608955,93.03141
2014-07-01,91.570137,48.47073,23.331404,93.939018,54.175076,40.658302,39.103748,26.795393,71.93605,31.61479,47.764656,91.9048
2014-06-02,89.012688,46.667645,24.379694,98.190636,53.75235,39.282928,39.125385,27.468021,72.538147,31.009348,49.322403,93.52108
2014-05-01,86.616707,47.133331,24.649485,95.224831,51.839954,38.566978,40.563747,27.421745,74.568733,31.105814,47.652046,93.381744
2014-04-01,80.296616,47.460304,24.741493,94.407318,52.222435,37.791672,39.463257,28.693029,76.193207,31.307514,46.250149,94.486565
2014-03-03,73.037003,47.153214,23.821392,91.555252,56.280212,38.343578,39.374825,29.463556,73.803711,30.3564,46.343323,90.12252
2014-02-03,71.608215,48.17355,23.43495,85.860428,52.674053,35.836609,37.642372,29.454384,72.027298,27.638433,43.250038,88.821602
2014-01-02,67.713928,46.98481,22.921846,81.869324,51.320583,35.133499,35.515305,27.655197,70.159309,28.841608,41.960716,84.431602
2013-12-02,75.886673,51.610146,25.567026,84.756538,53.860657,34.734253,36.707489,27.864431,73.985725,30.033737,42.016247,92.713516
2013-11-01,75.21711,52.412373,24.122229,87.597496,52.700184,35.402756,33.858006,28.865112,76.539459,30.076447,40.739101,85.640915
2013-10-01,70.2929,48.312088,23.651728,85.1063,47.468849,32.629837,32.14064,27.704529,73.38591,30.922108,39.230198,81.549721
2013-09-03,64.113525,48.035046,21.615906,79.66597,47.258835,30.667072,31.709141,25.935194,68.163544,28.506752,37.97123,78.292099
2013-08-01,65.521545,47.856812,20.777279,79.408661,46.198277,30.777653,30.456839,25.465778,70.237579,28.515182,37.750683,79.311249
2013-07-01,60.457233,51.619602,21.881689,85.281654,50.952503,29.13483,30.925255,26.386555,72.410812,29.728952,39.702183,84.722244
2013-06-03,52.975731,47.491226,20.822174,78.313187,47.915127,31.605436,29.245718,25.080704,68.909836,29.463778,37.666878,81.649651
2013-05-01,60.083164,51.471104,20.772995,76.780853,49.548904,31.934851,32.169338,24.382275,68.703972,29.122532,37.009735,81.758095
2013-04-01,58.765682,46.184227,19.855492,77.158554,44.484188,30.076874,31.217018,25.81465,68.712921,31.178335,34.393299,79.868103
2013-03-01,58.74976,43.788906,20.594839,73.808952,42.80965,25.996962,30.788477,25.628168,68.469437,30.176016,33.496792,80.873299
2013-02-01,58.582531,41.542049,20.683916,68.902237,44.126591,25.260939,32.607407,24.305023,67.687538,29.5345,31.767166,80.370705
2013-01-02,60.102276,41.730114,19.685505,66.388588,42.439823,24.738092,33.816849,24.225101,66.78125,28.613346,31.540775,80.235054
2012-12-03,70.220261,39.147289,18.545725,62.957794,39.391014,24.071199,31.731272,22.078497,59.836575,27.372553,30.732765,77.185104
2012-11-01,77.228172,34.209347,18.500587,62.6255,36.801975,23.990091,30.475058,22.025679,61.546444,27.713594,29.680763,78.603058
2012-10-01,78.195808,36.990032,18.439299,63.046906,37.339489,25.510778,29.433336,21.698706,61.026428,28.087114,30.098001,80.799324
2012-09-04,87.624176,32.369987,19.883972,61.34655,35.998589,26.601288,29.734882,21.681255,60.634277,30.261122,30.84844,81.047478
2012-08-01,87.37986,29.392185,17.99542,60.028988,33.028347,27.548779,29.914463,20.817495,58.73727,29.410278,30.401751,77.369545
2012-07-02,79.880898,26.829762,18.030178,61.067612,32.014557,26.168709,28.543976,20.782597,56.42065,30.43771,30.009533,76.473747
2012-06-01,76.380974,27.106665,18.108381,59.603115,31.511702,27.163244,28.013414,19.883514,53.084068,28.271555,29.681122,75.34668
2012-05-01,75.560928,26.216623,16.401596,55.077301,29.2363,25.920074,24.966837,18.90663,53.985413,27.090269,28.447367,69.235817
2012-04-02,76.378357,32.664368,16.822592,56.879116,37.905762,28.247702,27.73045,19.602802,55.15543,26.091331,29.471937,75.504524
2012-03-01,78.414749,36.13446,17.243586,57.630516,40.287861,28.459425,27.448252,19.388798,57.760872,24.414333,30.106882,75.845589
2012-02-01,70.945374,32.941181,16.367229,56.861645,34.382248,28.000687,27.532969,18.08765,58.113232,23.914009,27.512457,75.644447
2012-01-03,59.702717,30.361134,15.934174,57.082615,32.682407,25.880671,26.554018,18.130451,54.177139,22.991533,25.578054,72.832184
2011-12-01,52.969685,26.002649,15.252862,56.79681,28.925566,22.75185,24.090502,18.333784,56.876911,23.298229,24.133213,73.719322
2011-11-01,49.987682,27.158981,13.419373,56.051991,26.942099,22.418812,29.443949,17.003653,55.052349,22.327469,22.64459,69.962036
2011-10-03,52.94091,31.210503,14.094136,55.253418,30.239176,23.164619,30.777613,16.154802,54.557842,22.581717,22.578459,67.515854
2011-09-01,49.872589,25.312223,12.837389,54.652744,25.974005,21.651047,26.938774,14.829537,53.431622,21.639318,21.01862,62.795189
2011-08-01,50.331661,30.676989,13.62607,56.463352,32.389896,23.138523,26.310764,15.919944,53.854473,21.608967,22.744028,63.996971
2011-07-01,51.070621,37.879414,14.962779,55.105721,34.882088,23.684927,28.663454,15.968394,52.00238,22.200787,24.239944,68.533073
2011-06-01,43.902058,41.129021,15.756451,56.577133,35.08905,22.474749,30.792892,17.088255,53.324596,23.508091,24.344051,69.89875
2011-05-02,45.492455,40.645035,16.27426,57.23204,37.060349,21.61898,32.01862,17.793354,56.201794,23.620356,24.613001,71.693893
2011-04-01,45.79327,45.325554,16.94545,55.41608,39.10878,22.259691,33.646683,17.228399,54.440247,23.291048,25.152306,75.141441
2011-03-01,45.581394,43.646832,16.613997,49.96048,39.298492,21.804535,31.223486,16.686161,51.247093,22.58847,27.398817,71.853256
2011-02-01,46.196102,46.214291,17.334904,51.807121,39.801445,22.826488,30.728468,15.807077,52.4534,20.942854,27.812,73.048958
2011-01-03,44.379436,47.596771,16.573875,49.947243,38.309635,23.674162,29.91589,14.813306,52.519955,20.308222,27.908148,68.545464
2010-12-01,42.187412,46.708031,15.05145,51.68541,36.119946,23.827835,29.187193,14.236059,53.124443,21.369833,26.67716,62.122513
2010-11-01,40.695103,41.474361,12.925146,51.434715,31.845499,21.565428,25.224075,13.252299,50.432297,20.213331,23.423218,59.097942
2010-10-01,39.364975,41.17812,13.080281,52.810341,32.04134,22.630152,27.396797,14.017958,52.496826,20.744305,22.390072,56.136219
2010-09-01,37.111473,38.610657,13.268075,51.33556,32.365726,20.780369,24.991621,13.816781,49.146091,20.504908,21.582449,52.168102
2010-08-02,31.794889,36.635685,11.736049,47.242634,30.920067,19.914873,20.328381,12.802853,48.900234,19.37929,20.233545,49.90543
2010-07-01,33.645557,40.486877,13.06527,47.679512,34.253582,21.784212,22.003796,11.937603,50.121307,18.597809,23.78253,50.028683
2010-06-01,32.897442,37.129429,11.687419,48.475674,31.090145,19.420952,19.931944,11.348681,48.772579,17.044731,21.955744,47.840767
2010-05-03,33.597168,39.104397,13.168079,47.851875,33.612347,21.775772,20.962906,12.120646,49.675171,17.122238,24.605871,50.682541
2010-04-01,34.147789,43.153088,15.189601,52.298904,36.160023,25.66065,24.027931,13.167679,50.545238,18.362368,28.353563,56.427177
2010-03-01,30.735497,39.993137,14.658046,53.030922,37.960377,24.610361,23.83363,13.506321,51.054905,17.916698,26.649439,55.769405
2010-02-01,26.762114,33.574486,12.934516,51.241535,35.602169,24.089418,22.850992,13.821337,51.062969,17.202526,23.412457,54.1208
2010-01-04,25.119402,32.784496,12.870285,50.739437,33.031891,23.567497,21.377033,14.558023,49.666969,17.583881,24.303589,53.298496
2009-12-01,27.561237,32.685745,12.109914,51.99057,35.305271,25.491034,22.693903,14.191343,48.575809,19.148163,23.072594,56.408886
2009-11-02,26.146097,40.585625,12.73943,50.723293,36.000027,24.59617,20.427288,14.175739,49.953842,18.403551,23.970196,62.100235
2009-10-01,24.653791,40.38813,11.339843,47.289967,35.389999,23.089094,19.520641,13.16048,46.468693,17.535975,23.483265,58.944565
2009-09-01,24.241804,47.794266,13.057519,48.763523,37.082005,21.415487,19.233757,12.789544,46.053349,18.172731,24.046453,56.427891
2009-08-03,22.000076,49.374241,10.988542,48.403141,36.777363,20.524563,20.193598,12.905462,43.023945,17.526827,23.483265,56.872009
2009-07-01,21.369671,31.30327,10.59327,48.371498,32.706974,19.474182,20.42433,12.187853,44.137112,17.647934,20.832809,57.540371
2009-06-01,18.628326,29.3283,9.26516,45.122368,28.822756,19.681177,19.720814,11.47632,40.308456,16.431086,20.662468,57.147999
2009-05-01,17.762501,36.734436,10.569522,43.819538,31.180292,17.296583,18.035982,11.621687,40.971062,16.398012,21.718588,56.69022
2009-04-01,16.457222,30.118288,9.918728,41.230392,27.884811,16.669092,17.805815,10.107048,38.999023,16.947037,17.006084,54.176151
2009-03-02,13.748576,24.983366,7.927142,41.419376,22.42004,15.114079,16.593437,10.303741,36.827148,16.412189,12.102281,55.338173
2009-02-02,11.680796,14.812272,6.672599,39.372032,19.273813,13.287553,14.270172,9.312707,37.671768,15.480862,10.28354,55.175655
2009-01-02,11.788043,35.05571,9.23951,45.053825,21.517504,13.973366,15.454762,10.797787,42.622204,16.034449,15.767989,61.836185
2008-12-01,11.162869,66.102844,12.339659,46.725094,26.274805,15.885511,16.281219,13.115829,48.010139,18.292494,24.594725,64.544746
2008-11-03,12.120248,81.668045,12.83175,45.748886,26.383137,16.522892,14.77523,12.167877,49.974964,18.331003,24.102497,64.803474
2008-10-01,14.071625,134.471512,14.580515,47.50951,34.374744,18.12431,16.795462,12.887853,50.122524,17.182108,28.132315,59.585415
2008-09-02,14.865516,199.547943,19.057053,53.659256,38.618408,21.663137,18.650398,13.419086,53.778225,17.641745,31.007511,62.43124
2008-08-01,22.172716,184.759399,20.721802,54.549961,31.829176,22.150131,20.138023,13.906656,53.839954,20.213446,25.009256,64.320412
2008-07-01,20.788967,181.840607,20.861914,52.689655,33.598843,20.792898,19.770708,13.365879,50.529461,19.467842,24.73966,64.329506
2008-06-02,21.899366,160.289001,19.682024,49.511497,28.0583,22.239994,19.284016,12.506797,46.634033,21.027061,19.410866,70.488113
2008-05-01,24.686487,209.351196,22.404924,51.358368,35.164875,22.894823,20.973663,13.859851,50.652493,24.902933,22.532949,70.992004
2008-04-01,22.750807,238.616364,23.848991,51.266392,38.967587,22.971943,19.146275,14.171166,51.419373,24.160213,24.073614,74.108131
2008-03-03,18.76827,202.26207,26.99239,49.569996,34.840004,22.859177,17.961683,14.749005,53.429298,23.659208,23.547636,67.347862
2008-02-01,16.351284,223.885803,24.169895,47.346336,32.9743,21.908726,17.263786,15.700327,50.46312,21.515673,23.652832,69.282784
2008-01-02,17.703646,266.000153,25.556332,47.930103,38.449738,26.156618,18.870787,16.231958,49.88361,23.776579,27.296869,67.946404
2007-12-03,25.906752,274.801575,26.792227,50.632526,35.099583,28.563669,20.734909,15.794194,55.702591,25.425154,24.181116,74.281197
2007-11-01,23.832434,310.83197,27.43939,51.422001,36.683685,26.958969,18.531021,16.509901,56.142628,23.375723,25.975277,70.689636
2007-10-01,24.843435,386.066345,29.49609,49.165302,37.793362,29.437187,20.358412,16.893297,52.743721,25.565861,26.984512,72.650932
2007-09-04,20.072241,430.01712,29.668079,49.565144,36.547626,23.559345,19.880903,16.769737,53.1021,25.665148,28.261932,73.101097
2007-08-01,18.111708,431.952026,27.668306,46.615379,35.5107,22.975559,18.62285,17.051178,49.304783,24.185049,28.991888,67.706978
2007-07-02,17.232803,424.149902,27.590006,45.337215,35.103905,23.102507,17.557638,15.946012,46.70026,23.754364,26.556023,66.965401
2007-06-01,15.961532,467.138702,27.248335,46.176514,38.346622,23.485025,18.099426,17.343239,45.936504,24.95562,27.656952,65.982117
2007-05-01,15.85036,496.28363,26.558357,47.412987,41.021782,24.45726,17.796392,18.645508,47.708202,24.859406,28.380423,65.423615
2007-04-02,13.052776,483.503235,26.049522,47.811905,41.235477,23.782534,17.263786,17.756598,48.346317,23.283895,28.003876,62.173885
2007-03-01,12.151637,462.944,24.989449,44.863674,38.021339,22.13825,16.648533,16.951311,47.155022,23.496283,26.864683,59.095737
2007-02-01,11.066086,454.197266,24.671427,46.851498,38.815086,22.376551,15.087447,16.749989,47.401398,21.92907,27.075357,56.14291
2007-01-03,11.21257,492.249908,25.278429,49.444824,40.025356,24.428621,15.757796,17.418631,48.431702,22.423666,28.027283,57.792236
2006-12-01,11.096168,497.339386,26.091827,48.86747,37.691261,23.637026,15.73943,17.192932,47.754898,21.080681,27.529984,59.765438
2006-11-01,11.988152,442.783844,24.556934,48.786053,36.114941,23.24123,17.493357,18.248405,46.655209,19.995689,27.282246,59.905827
2006-10-02,10.6044,443.492065,24.438606,49.608746,37.020157,22.64926,16.960751,17.535217,47.101028,20.196177,27.878365,55.461594
2006-09-01,10.068163,439.159698,24.570856,47.798103,36.384651,21.576359,16.290401,18.660366,45.824005,19.004236,27.793861,52.106876
2006-08-01,8.874057,436.330414,23.538502,47.592014,35.377411,20.274677,14.380366,18.13398,45.764858,18.16959,26.69532,52.549511
2006-07-03,8.888444,422.839294,22.591707,45.773369,35.34642,18.911243,13.746749,16.944057,41.550648,17.504208,27.571672,52.360931
2006-06-01,7.490306,422.314148,22.778301,43.848763,32.27821,18.313881,13.305971,15.301156,40.878712,16.084213,25.566877,47.421658
2006-05-01,7.817279,431.504395,23.500917,44.068302,32.770065,17.802979,13.058034,15.425026,39.886154,15.028849,25.296268,47.081554
2006-04-03,9.206262,437.193604,23.727283,42.625546,34.875835,18.908251,13.3978,16.358414,42.797661,15.115355,25.979986,48.514874
2006-03-01,8.203108,409.144348,23.857615,43.06918,31.742046,21.304077,12.571342,16.09363,42.137341,15.40233,24.15696,46.807472
2006-02-01,8.957762,401.694366,22.547436,41.927361,31.360897,21.037876,11.405118,16.913811,43.819031,15.715617,24.281773,45.66151
2006-01-03,9.875903,399.24585,22.298168,41.61166,30.301304,21.965622,11.542861,16.426374,43.307213,14.781452,23.389172,48.006016
